Date,Open,High,Low,Close,Adj Close,Volume
3/15/2019,20948,21112,20877,21045,21045,714128000
3/18/2019,21091,21255,21086,21235,21235,466280700
3/19/2019,21275,21484,21231,21430,21430,430734700
3/20/2019,21360,21477,21330,21330,21330,385296000
3/21/2019,21346,21441,21265,21373,21373,349253800
3/22/2019,21463,21464,21046,21079,21079,548497100
3/25/2019,21017,21224,20925,21060,21060,367269700
3/26/2019,21107,21185,20988,21139,21139,347037900
3/27/2019,21190,21424,21011,21194,21194,473969200
3/28/2019,21165,21213,21036,21081,21081,326023100
3/29/2019,21208,21295,21087,21286,21286,560557200
4/1/2019,21404,21547,21349,21520,21520,444344600
4/2/2019,21532,21572,21448,21523,21523,365165100
4/3/2019,21655,21789,21629,21756,21756,480225800
4/4/2019,21696,21742,21634,21706,21706,373581600
4/5/2019,21751,21824,21679,21759,21759,357901300
4/8/2019,21772,21810,21696,21772,21772,347374500
4/9/2019,21759,21898,21611,21672,21672,371716900
4/10/2019,21687,21761,21619,21672,21672,353450200
4/11/2019,21698,21770,21478,21685,21685,462740200
4/12/2019,21677,21912,21633,21858,21858,557602400
4/15/2019,21909,22004,21841,21892,21892,394044200
4/16/2019,21919,21982,21806,21919,21919,409160800
4/17/2019,21939,22053,21889,22001,22001,514517400
4/18/2019,21995,22024,21789,21957,21957,459091800
4/23/2019,21951,21952,21818,21897,21897,401468700
4/24/2019,21839,21890,21667,21724,21724,464647800
4/25/2019,21698,21776,21653,21720,21720,292361100
4/26/2019,21722,21770,21590,21738,21738,326486200
4/29/2019,21772,21844,21652,21789,21789,324648600
4/30/2019,21770,21887,21753,21881,21881,339718700
5/2/2019,21834,21915,21677,21710,21710,359603300
5/3/2019,21713,21812,21665,21763,21763,308603200
5/6/2019,21317,21469,21246,21409,21409,356675600
5/7/2019,21444,21555,21173,21219,21219,509334800
5/8/2019,21207,21257,21031,21204,21204,468009600
5/9/2019,21102,21104,20789,20817,20817,501271000
5/10/2019,21006,21051,20837,20875,20875,372063000
5/13/2019,20909,20911,20586,20594,20594,446913000
5/14/2019,20700,20893,20650,20893,20893,456220900
5/15/2019,20898,20905,20556,20863,20863,586426500
5/16/2019,20838,21152,20768,21152,21152,501407600
5/17/2019,21151,21164,20979,21105,21105,524970900
5/20/2019,20746,20909,20486,20540,20540,546435600
5/21/2019,20638,20709,20583,20699,20699,480199600
5/22/2019,20652,20738,20503,20573,20573,438055800
5/23/2019,20424,20470,20122,20136,20136,516690100
5/24/2019,20261,20464,20245,20376,20376,425582400
5/27/2019,20417,20683,20299,20363,20363,308042900
5/28/2019,20349,20359,20093,20261,20261,708887600
5/29/2019,20087,20104,19928,20000,20000,388969800
5/30/2019,20073,20173,19879,19948,19948,311765100
5/31/2019,19730,19829,19536,19802,19802,462779900
6/3/2019,19680,19881,19594,19874,19874,343590400
6/4/2019,19778,20245,19753,20229,20229,456040800
6/5/2019,20229,20264,20035,20156,20156,438219600
6/6/2019,20147,20396,20079,20178,20178,437586300
6/7/2019,20248,20454,20237,20361,20361,343927900
6/10/2019,20465,20496,20345,20485,20485,252709300
6/11/2019,20495,20705,20482,20610,20610,372924300
6/12/2019,20494,20545,20429,20463,20463,325198000
6/13/2019,20447,20659,20391,20631,20631,294536300
6/14/2019,20586,20647,20534,20612,20612,273495300
6/17/2019,20660,20722,20602,20626,20626,260285300
6/18/2019,20632,21157,20510,21134,21134,519026800
6/19/2019,21140,21244,21070,21221,21221,521632300
6/20/2019,21355,21498,21346,21361,21361,571270800
6/21/2019,21377,21511,21336,21389,21389,785052200
6/24/2019,21315,21472,21262,21284,21284,324441800
6/25/2019,21225,21283,21112,21128,21128,303147100
6/26/2019,21082,21240,21020,21057,21057,356270000
6/27/2019,21140,21202,20997,21111,21111,322638700
6/28/2019,21132,21252,21079,21235,21235,338951200
7/1/2019,21464,21482,21254,21254,21254,344110500
7/2/2019,21320,21435,21245,21393,21393,327322300
7/3/2019,21415,21912,21404,21905,21905,567009000
7/4/2019,21957,22175,21930,22121,22121,473828700
7/5/2019,22130,22142,21926,21986,21986,372561300
7/8/2019,21942,22051,21912,21976,21976,320240600
