Date,Open Price,Close Price,High Price,Low Price,Volume
07-Aug-2019,7171.69,7198.70,7237.88,7153.89,748412672
08-Aug-2019,7198.70,7285.90,7285.90,7191.25,722453440
09-Aug-2019,7285.90,7253.85,7297.28,7237.13,726840384
12-Aug-2019,7253.85,7226.72,7305.56,7207.46,573767936
13-Aug-2019,7226.72,7250.90,7281.14,7166.86,687039872
14-Aug-2019,7250.90,7147.88,7268.73,7112.05,798852224
15-Aug-2019,7147.88,7067.01,7148.75,7020.22,768995200
16-Aug-2019,7067.01,7117.15,7125.90,7067.01,641905920
19-Aug-2019,7117.15,7189.65,7214.23,7117.15,607751232
20-Aug-2019,7189.65,7125.00,7231.65,7121.24,591724608
21-Aug-2019,7125.00,7203.97,7215.53,7122.12,545707584
22-Aug-2019,7203.97,7128.18,7203.97,7103.67,632051968
23-Aug-2019,7128.18,7094.98,7188.59,7094.98,627822080
27-Aug-2019,7094.98,7089.58,7110.76,7044.73,830331456
28-Aug-2019,7089.58,7114.71,7131.21,7050.00,649811584
29-Aug-2019,7114.71,7184.32,7199.20,7103.12,581264896
30-Aug-2019,7184.32,7207.18,7240.37,7179.70,658966720
02-Sep-2019,7207.18,7281.94,7315.26,7206.90,463905120
03-Sep-2019,7281.94,7268.19,7301.47,7239.10,615131328
04-Sep-2019,7268.19,7311.26,7334.55,7268.19,644560512
05-Sep-2019,7311.26,7271.17,7330.71,7250.63,697680768
06-Sep-2019,7271.17,7282.34,7284.11,7244.13,634410560
09-Sep-2019,7282.34,7235.81,7325.21,7205.98,742425472
10-Sep-2019,7235.81,7267.95,7270.50,7199.40,960964096
11-Sep-2019,7267.95,7338.03,7346.71,7267.95,766020352
12-Sep-2019,7338.03,7344.67,7369.34,7303.17,705877248
13-Sep-2019,7344.67,7367.46,7380.29,7318.23,987523520
16-Sep-2019,7367.46,7321.41,7378.32,7321.41,837454528
17-Sep-2019,7321.41,7320.40,7350.24,7292.23,679066880
18-Sep-2019,7320.40,7314.05,7350.52,7300.37,621889984
19-Sep-2019,7314.05,7356.42,7373.08,7290.69,621236736
20-Sep-2019,7356.42,7344.92,7376.31,7322.01,1642943616
23-Sep-2019,7344.92,7326.08,7362.30,7284.75,496799200
24-Sep-2019,7326.08,7291.43,7348.97,7281.91,573066432
25-Sep-2019,7291.43,7289.99,7292.00,7212.96,667385152
26-Sep-2019,7289.99,7351.08,7387.09,7277.15,605473472
27-Sep-2019,7351.08,7426.21,7440.77,7351.00,574489472
30-Sep-2019,7426.21,7408.21,7439.62,7402.20,675688576
01-Oct-2019,7408.21,7360.32,7433.24,7352.83,677411072
02-Oct-2019,7360.32,7122.54,7360.32,7119.72,741743616
03-Oct-2019,7122.54,7077.64,7129.02,7004.43,624502848
04-Oct-2019,7077.64,7155.38,7157.75,7077.40,582420928
07-Oct-2019,7155.38,7197.88,7206.89,7132.98,498144640
08-Oct-2019,7197.88,7143.15,7223.86,7143.15,649525888
09-Oct-2019,7143.15,7166.50,7196.41,7139.90,569807424
10-Oct-2019,7166.50,7186.36,7212.90,7130.52,674023296
11-Oct-2019,7186.36,7247.08,7250.09,7144.66,1473659520
14-Oct-2019,7247.08,7213.45,7251.80,7194.21,675627840
15-Oct-2019,7213.45,7211.64,7242.37,7176.67,1015486592
16-Oct-2019,7211.64,7167.95,7217.63,7149.84,947022720
17-Oct-2019,7167.95,7182.32,7237.78,7162.04,1110676480
18-Oct-2019,7182.32,7150.57,7197.14,7146.11,838325056
21-Oct-2019,7150.57,7163.64,7197.53,7139.38,765053632
22-Oct-2019,7163.64,7212.49,7230.17,7146.69,707793344
23-Oct-2019,7212.49,7260.74,7265.86,7194.13,703061248
24-Oct-2019,7260.74,7328.25,7338.87,7255.46,665903744
25-Oct-2019,7328.25,7324.47,7331.17,7279.78,541186624
28-Oct-2019,7324.47,7331.28,7346.92,7291.59,653623104
29-Oct-2019,7331.28,7306.26,7335.73,7264.74,684461824
30-Oct-2019,7306.26,7330.78,7334.04,7278.18,611647616
31-Oct-2019,7330.78,7248.38,7335.16,7245.23,757165056
01-Nov-2019,7248.38,7302.42,7307.18,7248.38,537320640
04-Nov-2019,7302.42,7369.69,7392.73,7302.42,556569792
05-Nov-2019,7369.69,7388.08,7402.79,7369.61,630693504
06-Nov-2019,7388.08,7396.65,7398.78,7363.55,577595712
07-Nov-2019,7396.65,7406.41,7431.94,7396.00,631053248
08-Nov-2019,7406.41,7359.38,7406.83,7349.12,514110240
11-Nov-2019,7359.38,7328.54,7359.38,7258.46,787498880
12-Nov-2019,7328.54,7365.44,7390.00,7328.18,690138368
13-Nov-2019,7365.44,7351.21,7365.44,7301.71,615776896
14-Nov-2019,7351.21,7292.76,7351.28,7292.76,561467328
15-Nov-2019,7292.76,7302.94,7335.55,7243.15,686577024
18-Nov-2019,7302.94,7307.70,7335.36,7293.40,726330944
19-Nov-2019,7307.70,7323.80,7404.47,7307.70,587450240
20-Nov-2019,7323.80,7262.49,7323.80,7219.11,739247232
21-Nov-2019,7262.49,7238.55,7262.49,7197.33,587471936
22-Nov-2019,7238.55,7326.81,7343.26,7238.47,587211712
25-Nov-2019,7326.81,7396.29,7401.78,7326.81,555912256
26-Nov-2019,7396.29,7403.14,7421.30,7384.96,990124096
27-Nov-2019,7403.14,7429.78,7446.00,7400.38,611514560
28-Nov-2019,7429.78,7416.43,7429.78,7385.32,580914880
29-Nov-2019,7416.43,7346.53,7421.40,7346.53,601540544
02-Dec-2019,7346.53,7285.94,7400.27,7277.02,854888064
03-Dec-2019,7285.94,7158.76,7285.94,7134.93,800978240
04-Dec-2019,7158.76,7188.50,7190.04,7139.91,659025792
05-Dec-2019,7188.50,7137.85,7194.78,7131.16,599905152
06-Dec-2019,7137.85,7239.66,7241.50,7137.85,491722144
09-Dec-2019,7239.66,7233.90,7255.73,7217.80,554551232
