,Country,Date,Gold Price per tr oz
405,Canada,2020-02-10,2095.3
406,Canada,2020-02-11,2087.0
407,Canada,2020-02-12,2073.4
408,Canada,2020-02-13,2087.7
409,Canada,2020-02-14,2096.4
410,Canada,2020-02-15,2096.4
411,Canada,2020-02-16,2096.4
412,Canada,2020-02-17,2092.8
413,Canada,2020-02-18,2107.3
414,Canada,2020-02-19,2123.4
415,Canada,2020-02-20,2142.3
416,Canada,2020-02-21,2173.1
417,Canada,2020-02-22,2173.1
418,Canada,2020-02-23,2173.1
419,Canada,2020-02-24,2218.0
420,Canada,2020-02-25,2192.5
421,Canada,2020-02-26,2174.8
422,Canada,2020-02-27,2206.5
423,Canada,2020-02-28,2161.0
424,Canada,2020-02-29,2161.0
425,Canada,2020-03-01,2161.0
426,Canada,2020-03-02,2141.5
427,Canada,2020-03-03,2154.7
428,Canada,2020-03-04,2199.3
429,Canada,2020-03-05,2223.9
430,Canada,2020-03-06,2260.8
431,Canada,2020-03-07,2260.8
432,Canada,2020-03-08,2260.8
433,Canada,2020-03-09,2262.2
434,Canada,2020-03-10,2280.2
435,Canada,2020-03-11,2273.7
436,Canada,2020-03-12,2178.8
437,Canada,2020-03-13,2186.0
438,Canada,2020-03-14,2186.0
439,Canada,2020-03-15,2186.0
440,Canada,2020-03-16,2079.0
441,Canada,2020-03-17,2179.6
442,Canada,2020-03-18,2177.1
443,Canada,2020-03-19,2132.4
444,Canada,2020-03-20,2145.1
445,Canada,2020-03-21,2145.1
446,Canada,2020-03-22,2145.1
447,Canada,2020-03-23,2217.7
448,Canada,2020-03-24,2325.1
449,Canada,2020-03-25,2301.5
450,Canada,2020-03-26,2296.4
451,Canada,2020-03-27,2276.6
452,Canada,2020-03-28,2276.6
453,Canada,2020-03-29,2276.6
454,Canada,2020-03-30,2292.3
455,Canada,2020-03-31,2290.1
456,Canada,2020-04-01,2240.1
457,Canada,2020-04-02,2283.2
458,Canada,2020-04-03,2274.9
459,Canada,2020-04-04,2274.9
460,Canada,2020-04-05,2274.9
461,Canada,2020-04-06,2331.2
462,Canada,2020-04-07,2311.0
