"Date","Price","Open","High","Low","Change %"
"Mar 17, 2020","10.4754","10.5176","10.9150","9.9848","-0.42%"
"Mar 16, 2020","10.5192","11.9734","12.2466","9.5835","-12.22%"
"Mar 13, 2020","11.9838","12.5855","12.7384","11.7130","-4.79%"
"Mar 12, 2020","12.5865","13.0675","13.2168","12.3562","-3.65%"
"Mar 11, 2020","13.0630","13.0928","13.2961","12.9879","-0.20%"
"Mar 10, 2020","13.0888","12.9589","13.1815","12.8821","1.03%"
"Mar 09, 2020","12.9559","13.2889","13.3869","12.6844","-2.49%"
"Mar 06, 2020","13.2863","13.4592","13.5362","13.0837","-1.19%"
"Mar 05, 2020","13.4467","13.3662","13.4972","13.2760","0.60%"
"Mar 04, 2020","13.3667","13.4445","13.5426","13.3260","-0.58%"
"Mar 03, 2020","13.4445","13.1313","13.6287","13.0774","2.39%"
"Mar 02, 2020","13.1302","13.0364","13.3644","12.8860","0.89%"
"Feb 28, 2020","13.0150","13.7990","13.8688","12.8425","-5.68%"
"Feb 27, 2020","13.7985","13.8825","14.0591","13.6707","-0.66%"
"Feb 26, 2020","13.8899","13.8441","14.0611","13.7531","0.33%"
"Feb 25, 2020","13.8436","14.4053","14.4466","13.7517","-3.94%"
"Feb 24, 2020","14.4109","14.2647","14.6664","14.2515","1.11%"
"Feb 21, 2020","14.2532","14.2619","14.4337","14.2360","-0.08%"
"Feb 20, 2020","14.2652","14.2631","14.3291","14.0992","0.01%"
"Feb 19, 2020","14.2642","13.9813","14.2935","13.9555","1.97%"
"Feb 18, 2020","13.9890","13.6657","14.0352","13.6593","2.38%"
"Feb 17, 2020","13.6642","13.6180","13.7378","13.5560","0.44%"
"Feb 14, 2020","13.6049","13.5400","13.6959","13.4999","0.54%"
"Feb 13, 2020","13.5323","13.4907","13.6552","13.4811","0.31%"
"Feb 12, 2020","13.4902","13.6239","13.6585","13.4624","-0.97%"
"Feb 11, 2020","13.6223","13.7554","13.8151","13.5565","-0.97%"
"Feb 10, 2020","13.7558","13.7224","13.8354","13.6781","0.20%"
"Feb 07, 2020","13.7277","13.7896","13.8252","13.6283","-0.45%"
"Feb 06, 2020","13.7896","13.5453","13.8169","13.5356","1.83%"
"Feb 05, 2020","13.5421","13.4964","13.6366","13.3698","0.34%"
"Feb 04, 2020","13.4958","13.6086","13.7514","13.4360","-0.83%"
"Feb 03, 2020","13.6091","13.6600","13.7392","13.4579","-0.49%"
"Jan 31, 2020","13.6761","13.6180","13.7436","13.5364","0.40%"
"Jan 30, 2020","13.6222","13.4908","13.7833","13.4721","0.98%"
"Jan 29, 2020","13.4897","13.4094","13.5270","13.3429","0.60%"
"Jan 28, 2020","13.4094","13.8651","13.9296","13.3912","-3.30%"
"Jan 27, 2020","13.8677","13.8485","14.0355","13.8130","0.16%"
"Jan 24, 2020","13.8459","13.5688","13.8951","13.5020","2.05%"
"Jan 23, 2020","13.5678","13.5787","13.6454","13.4132","-0.08%"
"Jan 22, 2020","13.5786","13.6355","13.6871","13.5269","-0.42%"
"Jan 21, 2020","13.6355","13.9015","13.9832","13.4941","-1.93%"
"Jan 20, 2020","13.9042","13.8575","13.9685","13.8301","0.40%"
"Jan 17, 2020","13.8490","13.7194","13.9384","13.6812","0.94%"
"Jan 16, 2020","13.7205","13.8168","13.8499","13.6880","-0.70%"
"Jan 15, 2020","13.8173","13.6751","13.8569","13.6315","1.02%"
"Jan 14, 2020","13.6772","13.8299","13.8433","13.5947","-1.12%"
"Jan 13, 2020","13.8325","13.8652","13.9254","13.7811","-0.19%"
"Jan 10, 2020","13.8588","13.6992","13.9208","13.6271","1.17%"
"Jan 09, 2020","13.6987","13.8216","13.9026","13.5680","-0.88%"
"Jan 08, 2020","13.8206","14.0281","14.3805","13.7694","-1.48%"
"Jan 07, 2020","14.0286","13.7867","14.0639","13.6160","1.75%"
"Jan 06, 2020","13.7867","13.8006","14.1563","13.6851","-0.01%"
"Jan 03, 2020","13.7874","13.7203","13.9749","13.6884","0.55%"
"Jan 02, 2020","13.7119","13.4704","13.7661","13.4089","1.79%"
"Jan 01, 2020","13.4704","13.4643","13.4887","13.4490","0.11%"
"Dec 31, 2019","13.4562","13.6717","13.8486","13.4524","-1.59%"
"Dec 30, 2019","13.6738","13.5954","13.7124","13.5504","0.67%"
"Dec 27, 2019","13.5834","13.7778","13.8324","13.5599","-1.40%"
"Dec 26, 2019","13.7767","13.7296","13.9111","13.6470","0.34%"
"Dec 25, 2019","13.7296","13.7456","13.7730","13.6792","-0.12%"
"Dec 24, 2019","13.7461","13.4861","13.7817","13.4192","1.93%"
"Dec 23, 2019","13.4861","13.2394","13.5137","13.1913","1.95%"
"Dec 20, 2019","13.2286","13.1212","13.2472","13.0377","0.82%"
"Dec 19, 2019","13.1216","13.0109","13.1704","12.8871","0.85%"
"Dec 18, 2019","13.0114","12.9599","13.0520","12.8949","0.41%"
"Dec 17, 2019","12.9589","12.7944","13.0169","12.7680","1.29%"
"Dec 16, 2019","12.7935","12.7037","12.8225","12.6260","0.63%"
"Dec 13, 2019","12.7128","12.8612","12.8686","12.5065","-1.18%"
"Dec 12, 2019","12.8642","12.7703","13.0280","12.7158","0.68%"
"Dec 11, 2019","12.7776","12.6739","12.8607","12.6124","0.81%"
"Dec 10, 2019","12.6749","12.6264","12.7004","12.5906","0.34%"
"Dec 09, 2019","12.6322","12.6152","12.6975","12.5594","0.12%"
"Dec 06, 2019","12.6166","12.8942","12.9707","12.5747","-2.15%"
"Dec 05, 2019","12.8942","12.8581","12.9531","12.7916","0.28%"
"Dec 04, 2019","12.8587","13.2186","13.3277","12.8032","-2.72%"
"Dec 03, 2019","13.2177","13.0705","13.2581","13.0197","1.13%"
"Dec 02, 2019","13.0705","13.1837","13.2085","13.0100","-0.73%"
"Nov 29, 2019","13.1669","13.1046","13.1935","13.0695","0.48%"
"Nov 28, 2019","13.1035","13.1229","13.1887","13.0768","-0.16%"
"Nov 27, 2019","13.1249","13.2781","13.3160","13.1123","-1.16%"
"Nov 26, 2019","13.2792","13.0960","13.3333","13.0220","1.40%"
"Nov 25, 2019","13.0955","13.2400","13.2614","13.0743","-1.24%"
"Nov 22, 2019","13.2596","13.2443","13.4073","13.1884","0.11%"
"Nov 21, 2019","13.2448","13.2781","13.3212","13.1365","-0.25%"
"Nov 20, 2019","13.2776","13.2738","13.3573","13.1748","0.04%"
"Nov 19, 2019","13.2717","13.1581","13.3179","13.1105","0.86%"
"Nov 18, 2019","13.1581","13.1407","13.1805","12.9098","0.10%"
"Nov 15, 2019","13.1453","13.2244","13.2326","13.0560","-0.60%"
"Nov 14, 2019","13.2244","13.2015","13.3350","13.1335","0.17%"
"Nov 13, 2019","13.2015","13.0507","13.2873","13.0351","1.13%"
"Nov 12, 2019","13.0537","13.1044","13.1628","12.9583","-0.38%"
"Nov 11, 2019","13.1039","13.1531","13.2537","12.9326","-0.41%"
"Nov 08, 2019","13.1577","13.3736","13.3762","13.0336","-1.60%"
"Nov 07, 2019","13.3715","13.7216","13.7662","13.2467","-2.52%"
"Nov 06, 2019","13.7174","13.6444","13.7396","13.4871","0.54%"
"Nov 05, 2019","13.6438","14.0212","14.0612","13.6202","-2.69%"
"Nov 04, 2019","14.0212","14.0046","14.1256","13.9072","0.14%"
"Nov 01, 2019","14.0021","13.9915","14.0344","13.8502","0.09%"
"Oct 31, 2019","13.9893","13.8446","14.0522","13.7788","1.04%"
"Oct 30, 2019","13.8456","13.8434","13.9431","13.6606","0.00%"
"Oct 29, 2019","13.8455","13.8770","13.9313","13.6919","-0.23%"
"Oct 28, 2019","13.8770","14.0702","14.1548","13.8305","-1.36%"
"Oct 25, 2019","14.0685","13.8660","14.3195","13.8325","1.46%"
"Oct 24, 2019","13.8656","13.5920","13.9229","13.5063","2.06%"
"Oct 23, 2019","13.5857","13.6148","13.7219","13.5576","-0.20%"
"Oct 22, 2019","13.6132","13.5582","13.6877","13.4247","0.41%"
"Oct 21, 2019","13.5571","13.5787","13.7882","13.4986","0.20%"
"Oct 18, 2019","13.5295","13.6152","13.6909","13.4955","-0.63%"
"Oct 17, 2019","13.6152","13.5598","13.7653","13.3942","0.41%"
"Oct 16, 2019","13.5598","13.6193","13.7254","13.3589","-0.43%"
