"Date","Price","Open","High","Low","Change %"
"Dec 20, 2019","17.202","17.070","17.272","17.009","0.80%"
"Dec 19, 2019","17.066","17.017","17.140","16.880","0.29%"
"Dec 18, 2019","17.017","17.012","17.090","16.869","0.03%"
"Dec 17, 2019","17.012","17.040","17.128","16.945","-0.17%"
"Dec 16, 2019","17.041","16.956","17.106","16.880","0.58%"
"Dec 13, 2019","16.942","16.930","17.034","16.825","0.03%"
"Dec 12, 2019","16.936","16.862","17.135","16.758","0.43%"
"Dec 11, 2019","16.862","16.665","16.980","16.580","1.19%"
"Dec 10, 2019","16.664","16.625","16.732","16.559","0.32%"
"Dec 09, 2019","16.611","16.560","16.703","16.518","0.22%"
"Dec 06, 2019","16.575","16.955","17.013","16.521","-2.26%"
"Dec 05, 2019","16.958","16.848","17.035","16.802","0.64%"
"Dec 04, 2019","16.850","17.175","17.312","16.786","-1.87%"
"Dec 03, 2019","17.171","16.905","17.220","16.860","1.55%"
"Dec 02, 2019","16.910","16.995","17.028","16.805","-0.71%"
"Nov 29, 2019","17.030","16.920","17.060","16.848","0.65%"
"Nov 28, 2019","16.920","16.955","17.049","16.875","-0.19%"
"Nov 27, 2019","16.952","17.078","17.114","16.915","-0.74%"
"Nov 26, 2019","17.078","16.905","17.129","16.802","0.99%"
"Nov 25, 2019","16.910","17.010","17.035","16.840","-0.61%"
"Nov 22, 2019","17.014","17.107","17.260","16.980","-0.54%"
"Nov 21, 2019","17.107","17.145","17.209","17.031","-0.19%"
"Nov 20, 2019","17.140","17.145","17.227","17.020","-0.03%"
"Nov 19, 2019","17.146","17.035","17.211","16.964","0.67%"
"Nov 18, 2019","17.031","16.960","17.085","16.733","0.43%"
"Nov 15, 2019","16.959","17.022","17.046","16.815","-0.37%"
"Nov 14, 2019","17.022","16.964","17.126","16.869","0.35%"
"Nov 13, 2019","16.963","16.784","17.051","16.750","1.07%"
"Nov 12, 2019","16.784","16.862","16.924","16.638","-0.48%"
"Nov 11, 2019","16.865","16.810","16.963","16.647","0.35%"
"Nov 08, 2019","16.806","17.119","17.142","16.690","-1.82%"
"Nov 07, 2019","17.118","17.635","17.695","16.982","-2.91%"
"Nov 06, 2019","17.631","17.590","17.674","17.370","0.21%"
"Nov 05, 2019","17.595","18.055","18.115","17.529","-2.55%"
"Nov 04, 2019","18.055","18.130","18.250","17.950","-0.40%"
"Nov 01, 2019","18.128","18.115","18.175","17.928","-0.04%"
"Oct 31, 2019","18.135","17.885","18.195","17.784","1.45%"
"Oct 30, 2019","17.875","17.815","17.982","17.575","0.38%"
"Oct 29, 2019","17.808","17.855","17.909","17.591","-0.32%"
"Oct 28, 2019","17.865","18.053","18.151","17.779","-1.00%"
"Oct 25, 2019","18.045","17.813","18.353","17.773","1.32%"
"Oct 24, 2019","17.810","17.567","17.859","17.463","1.39%"
"Oct 23, 2019","17.565","17.538","17.633","17.485","0.23%"
"Oct 22, 2019","17.525","17.569","17.692","17.416","-0.28%"
"Oct 21, 2019","17.575","17.565","17.885","17.499","0.14%"
"Oct 18, 2019","17.551","17.552","17.624","17.394","0.01%"
"Oct 17, 2019","17.550","17.400","17.669","17.295","0.86%"
"Oct 16, 2019","17.400","17.419","17.494","17.148","-0.11%"
"Oct 15, 2019","17.420","17.645","17.750","17.340","-1.33%"
"Oct 14, 2019","17.655","17.575","17.720","17.413","0.51%"
"Oct 11, 2019","17.565","17.510","17.770","17.325","0.31%"
"Oct 10, 2019","17.510","17.720","17.903","17.411","-1.30%"
"Oct 09, 2019","17.740","17.730","17.971","17.649","0.03%"
