"Symbol: ^XAGJPY",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2020-01-24,1943.07,1977.43,1941.65,1975.18,29.930000000000064,3311,
2020-01-27,1976.27,1992.11,1965.01,1967.22,-7.960000000000036,3035,
2020-01-28,1967.16,1969.53,1902.37,1903.33,-63.8900000000001,3430,
2020-01-29,1898.9,1913.92,1896.58,1911.47,8.1400000000001,3415,
2020-01-30,1911.42,1953.5,1910.6,1939.79,28.319999999999936,3130,
2020-01-31,1935.67,1955.02,1935.67,1952,12.210000000000036,3139,
2020-02-03,1952.03,1956.89,1912.48,1918.14,-33.8599999999999,3184,
2020-02-04,1918.13,1932.74,1914.96,1923.72,5.579999999999927,3540,
2020-02-05,1923.67,1934.28,1917.25,1931.08,7.3599999999999,3375,
2020-02-06,1931.06,1958.71,1930.65,1956.97,25.8900000000001,3438,
2020-02-07,1953.24,1957.93,1935.8,1939.62,-17.350000000000136,3540,
2020-02-10,1939.74,1953.21,1939.38,1947.39,7.770000000000209,3817,
2020-02-11,1943.04,1953.31,1928.03,1934.12,-13.27000000000021,3524,
2020-02-12,1930.04,1936.41,1920.23,1921.34,-12.779999999999973,3575,
2020-02-13,1920,1942.5,1920,1934.66,13.320000000000164,3618,
2020-02-14,1930.93,1951.1,1930.93,1944.96,10.299999999999955,3722,
2020-02-17,1944.82,1961.21,1941.83,1950.23,5.269999999999982,3190,
2020-02-18,1945.92,1998.7,1945.92,1992.98,42.75,3592,
2020-02-19,1987.75,2048.57,1987.75,2048.53,55.55000000000018,3268,
2020-02-20,2048.52,2058.34,2031.28,2055.49,6.959999999999582,2931,
2020-02-21,2055.42,2077.08,2055.27,2059.72,4.230000000000018,2848,
2020-02-24,2061.05,2096.92,2056.69,2059.71,-0.009999999999763531,2254,
2020-02-25,2059.73,2061.72,1976.74,1981.13,-78.57999999999993,2226,
2020-02-26,1981.05,2001.7,1970.72,1975.41,-5.720000000000027,2155,
2020-02-27,1975.35,1991.31,1934.63,1942.8,-32.61000000000013,2156,
2020-02-28,1942.89,1951.86,1773.71,1799.01,-143.78999999999996,1643,
2020-03-02,1797.35,1839.85,1774,1810.06,11.049999999999955,1878,
2020-03-03,1809.73,1858.14,1806.94,1840.3,30.24000000000001,2180,
2020-03-04,1836.76,1855.14,1745.93,1847.9,7.600000000000136,2469,
2020-03-05,1847.88,1853.04,1835.86,1847.23,-0.6700000000000728,2717,
2020-03-06,1847.26,1856.23,1802.25,1824.8,-22.430000000000064,2097,
2020-03-09,1828.17,1828.17,1703.43,1737.47,-87.32999999999993,1997,
2020-03-10,1737.47,1796.55,1727.51,1780.99,43.51999999999998,2121,
2020-03-11,1781.06,1793.63,1741.09,1748.44,-32.549999999999955,2638,
2020-03-12,1748.34,1762.83,1639.44,1650.96,-97.48000000000002,2395,
2020-03-13,1652.28,1694.74,1560.61,1584.91,-66.04999999999995,2525,
2020-03-16,1593.46,1597.34,1289.92,1360.73,-224.18000000000006,2276,
2020-03-17,1360.69,1403.21,1297.71,1355.78,-4.9500000000000455,2370,
2020-03-18,1355.77,1375.03,1269.94,1290.66,-65.11999999999989,2520,
2020-03-19,1290.86,1351.35,1290.05,1335.3,44.63999999999987,2368,
2020-03-20,1335.53,1419.29,1332.88,1392.78,57.48000000000002,2643,
2020-03-23,1397.43,1472.21,1365.11,1471.22,78.44000000000005,2787,
2020-03-24,1471.28,1588.86,1471.28,1587.04,115.81999999999994,2695,
2020-03-25,1587.42,1626.59,1565.87,1601.9,14.860000000000127,2615,
2020-03-26,1602.56,1609.63,1567.35,1573.13,-28.769999999999982,2820,
2020-03-27,1573.58,1580.84,1542.15,1558.84,-14.290000000000191,2951,
2020-03-30,1558.61,1561.36,1492.31,1512.02,-46.819999999999936,2989,
2020-03-31,1512.1,1532.77,1499.26,1500.11,-11.910000000000082,3424,
2020-04-01,1499.97,1516.77,1483.12,1493.89,-6.2199999999998,3418,
2020-04-02,1493.84,1563.69,1493.54,1559.64,65.75,3411,
2020-04-03,1559.67,1568.62,1548.3,1556.7,-2.9400000000000546,3345,
2020-04-06,1557.03,1637.94,1550.15,1635.31,78.6099999999999,3188,
2020-04-07,1635.58,1668.68,1619.91,1630.76,-4.5499999999999545,2528,
2020-04-08,1630.65,1642.63,1615.14,1624.62,-6.1400000000001,3208,
2020-04-09,1624.58,1675.3,1623.5,1664.14,39.52000000000021,3140,
2020-04-10,1663.11,1663.11,1628.23,1630.29,-33.850000000000136,12,
2020-04-13,1632.06,1670.74,1632.06,1653.7,23.410000000000082,3059,
2020-04-14,1653.86,1690.67,1651.68,1686.86,33.159999999999854,2918,
2020-04-15,1686.55,1686.55,1643.95,1658.11,-28.75,3012,
2020-04-16,1658.33,1673.54,1648.54,1669.69,11.580000000000155,3087,
2020-04-17,1670.78,1671.92,1623.7,1629.9,-39.789999999999964,3063,
2020-04-20,1629.81,1656.17,1621.4,1645.4,15.5,3286,
2020-04-21,1645.38,1646.09,1568.66,1601.29,-44.11000000000013,2963,
2020-04-22,1601,1626.48,1582.11,1624.04,22.75,3198,
2020-04-23,1623.98,1654.54,1612.41,1638.19,14.150000000000091,3090,
2020-04-24,1638.14,1649.7,1615.83,1634.62,-3.5700000000001637,3331,
2020-04-27,1634.67,1641.89,1615.54,1627.72,-6.899999999999864,3438,
2020-04-28,1627.63,1627.63,1598.49,1617.54,-10.180000000000064,3366,
2020-04-29,1617.5,1632.35,1610.91,1628.83,11.289999999999964,3331,
2020-04-30,1628.4,1644.18,1586.12,1599.38,-29.449999999999818,3071,
2020-05-01,1599.45,1608.06,1577.58,1596.71,-2.6700000000000728,3261,
2020-05-04,1596.19,1601.33,1574.06,1574.11,-22.600000000000136,3129,
2020-05-05,1574.24,1595.09,1571.56,1589.86,15.75,3488,
2020-05-06,1590.17,1605.54,1571.91,1572.06,-17.799999999999955,3686,
2020-05-07,1572.17,1633.2,1571.62,1626.95,54.8900000000001,3524,
2020-05-08,1627.26,1657.5,1618.06,1647.17,20.220000000000027,3071,
2020-05-11,1647.35,1667.97,1641.71,1664.83,17.659999999999854,3268,
2020-05-12,1664.74,1671.64,1650.17,1651.69,-13.139999999999873,3454,
2020-05-13,1651.5,1666.45,1647.67,1663.88,12.190000000000055,3391,
2020-05-14,1664.01,1701.72,1649.87,1698.64,34.75999999999999,3391,
2020-05-15,1698.65,1788.29,1693.9,1777.77,79.12999999999988,2956,
2020-05-18,1779.14,1870.97,1779.14,1816.7,38.930000000000064,2820,
2020-05-19,1817.01,1878.66,1817.01,1865.62,48.919999999999845,2938,
2020-05-20,1865.44,1890.65,1863.53,1883.45,17.830000000000155,2872,
2020-05-21,1883.18,1883.18,1824.38,1838.34,-45.11000000000013,2868,
2020-05-22,1838.34,1849.38,1802.1,1848.48,10.1400000000001,2988,
2020-05-25,1848.58,1848.58,1820.19,1833.76,-14.720000000000027,2576,
2020-05-26,1834.31,1877.32,1830.03,1838.76,5,2992,
2020-05-27,1838.84,1864,1820.85,1856.92,18.160000000000082,2964,
2020-05-28,1857.05,1877.59,1852.33,1867.54,10.61999999999989,2896,
2020-05-29,1867.35,1926.59,1857.73,1922.77,55.23000000000002,2921,
